Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Configuration,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
1,1,BT1201,CR1616,Device:Battery_Cell,,~,,,,,,P034-ND,,,,,,,
2,1,BT1202,CR1616_Holder,Device:Battery_Cell,Custom Footprints Library:BAT_BU1632SM-JJ-GTR,~,,,,,,BU1632SM-JJ-GCT-ND,,,,,,,
3,1,BZ2401,CST-931RP-A,Device:Buzzer,Buzzer_Beeper:MagneticBuzzer_CUI_CST-931RP-A,~,,,,,,102-1461-ND,,,,,,,
4,16,"C201, C203, C403, C904, C905, C910, C914, C918, C919, C1103, C1104, C1809, C1909, C2009, C2203, C2204",10nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7842-1-ND,,,,,50V,,603
5,82,"C202, C301, C302, C303, C404, C406, C501, C502, C503, C603, C604, C606, C701, C702, C703, C801, C802, C901, C902, C908, C912, C916, C917, C1101, C1102, C1202, C1203, C1204, C1205, C1301, C1302, C1304, C1306, C1307, C1310, C1312, C1401, C1402, C1403, C1504, C1602, C1603, C1605, C1606, C1607, C1701, C1702, C1703, C1704, C1801, C1802, C1806, C1807, C1808, C1811, C1812, C1901, C1902, C1906, C1907, C1908, C1911, C1912, C2001, C2002, C2006, C2007, C2008, C2011, C2012, C2103, C2201, C2202, C2207, C2208, C2301, C2302, C2303, C2304, C2401, C2402, C2403",0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7845-1-ND,,,,,50V,,603
6,12,"C204, C906, C907, C911, C915, C920, C921, C1105, C1106, C1810, C1910, C2010",1nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-1083-1-ND,,,,,50V,,603
7,1,C205,100uF,Custom_Library:CP_Tant_Custom,Capacitors_Tantalum_SMD:CP_Tantalum_Case-X_EIA-7343-43_Reflow,,,,,,,718-1102-1-ND,,,,10%,16V,,7343
8,1,C401,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-7031-1-ND,,,,,25V,,1206
9,13,"C402, C903, C909, C913, C1201, C1303, C1501, C1502, C1503, C2101, C2102, C2205, C2206",10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-10474-1-ND,,,,,10V,,603
10,1,C405,100uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X5R,587-1963-1-ND,,,,,6.3V,,1206
